-- flex Errors -------------------------------- 
Token: (SEMI_COLON) -> ;
Sybol: (INTEGER_CONSTANT) -> 0
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> a
Token: (SEMI_COLON) -> ;
Token: (DO) -> DO
Sybol: (ID) -> a
Token: (ADD) -> +
Sybol: (INTEGER_CONSTANT) -> 1
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> a
Token: (SEMI_COLON) -> ;
Token: (IF) -> IF
Token: (NOT) -> NOT
Sybol: (ID) -> a
Token: (EQUAL_TO) -> =
Sybol: (INTEGER_CONSTANT) -> 6
Token: (AND) -> AND
Sybol: (ID) -> a
Token: (NOT_EQUAL) -> <>
Sybol: (INTEGER_CONSTANT) -> 8
Token: (THEN) -> THEN
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> a
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (END_IF) -> ENDIF
Token: (WHILE) -> WHILE
Sybol: (ID) -> a
Token: (LESS_THAN) -> <
Sybol: (INTEGER_CONSTANT) -> 14
Token: (END_DO) -> ENDDO
Token: (SEMI_COLON) -> ;
Sybol: (INTEGER_CONSTANT) -> 0
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> a
Token: (SEMI_COLON) -> ;
Token: (WHILE) -> WHILE
Sybol: (ID) -> a
Token: (LESS_THAN) -> <
Sybol: (INTEGER_CONSTANT) -> 12
Token: (DO) -> DO
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> a
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Sybol: (ID) -> a
Token: (ADD) -> +
Sybol: (INTEGER_CONSTANT) -> 1
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> a
Token: (END_WHILE) -> ENDWHILE
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (ENDP) -> ENDP
Sybol: (ID) -> Prog3
Token: (FULL_STOP) -> .
--26/11/2017----------------------------------------------------- 
Lexical Tokens for d.spl 
--19:18:35.54----------------------------------------------------- 
Sybol: (ID) -> Prog4D
Token: (COLON) -> :
Token: (DECLARATIONS) -> DECLARATIONS
Sybol: (ID) -> r1
Token: (COMMA) -> ,
Sybol: (ID) -> r2
Token: (COMMA) -> ,
Sybol: (ID) -> r3
Token: (OF) -> OF
Token: (TYPE) -> TYPE
Token: (REAL) -> REAL
Token: (SEMI_COLON) -> ;
Token: (CODE) -> CODE
Token: (MINUS) -> -
Sybol: (REAL_CONSTANT) -> 2.4
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> r1
Token: (SEMI_COLON) -> ;
Token: (MINUS) -> -
Sybol: (REAL_CONSTANT) -> 34.989
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> r2
Token: (SEMI_COLON) -> ;
Sybol: (ID) -> r1
Token: (MULTIPLY) -> *
Sybol: (ID) -> r2
Token: (DIVIDE) -> /
Sybol: (REAL_CONSTANT) -> 7.4
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> r3
Token: (SEMI_COLON) -> ;
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> r3
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (SEMI_COLON) -> ;
Token: (READ) -> READ
Token: (BRA) -> (
Sybol: (ID) -> r1
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Sybol: (ID) -> r1
Token: (ADD) -> +
Sybol: (ID) -> r3
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> r3
Token: (SEMI_COLON) -> ;
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> r3
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (ENDP) -> ENDP
Sybol: (ID) -> Prog4D
Token: (FULL_STOP) -> .
--26/11/2017----------------------------------------------------- 
Lexical Tokens for e.spl 
--19:18:36.28----------------------------------------------------- 
Sybol: (ID) -> ProgV
Token: (COLON) -> :
Token: (DECLARATIONS) -> DECLARATIONS
Sybol: (ID) -> integer
Token: (COMMA) -> ,
Sybol: (ID) -> i
Token: (OF) -> OF
Token: (TYPE) -> TYPE
Token: (INTEGER) -> INTEGER
Token: (SEMI_COLON) -> ;
Token: (CODE) -> CODE
Token: (READ) -> READ
Token: (BRA) -> (
Sybol: (ID) -> integer
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (IF) -> IF
Sybol: (ID) -> integer
Token: (LESS_THAN_EQUAL_TO) -> <=
Sybol: (INTEGER_CONSTANT) -> 5
Token: (OR) -> OR
Sybol: (ID) -> integer
Token: (GREATER_THAN_EQUAL_TO) -> >=
Sybol: (INTEGER_CONSTANT) -> 12
Token: (THEN) -> THEN
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> integer
Token: (KET) -> )
Token: (END_IF) -> ENDIF
Token: (SEMI_COLON) -> ;
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Token: (BRA) -> (
Sybol: (INTEGER_CONSTANT) -> 36
Token: (MINUS) -> -
Sybol: (INTEGER_CONSTANT) -> 1
Token: (KET) -> )
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (SEMI_COLON) -> ;
Token: (FOR) -> FOR
Sybol: (ID) -> integer
Token: (IS) -> IS
Token: (MINUS) -> -
Sybol: (INTEGER_CONSTANT) -> 1
Token: (BY) -> BY
Token: (MINUS) -> -
Sybol: (INTEGER_CONSTANT) -> 1
Token: (TO) -> TO
Token: (MINUS) -> -
Sybol: (INTEGER_CONSTANT) -> 5
Token: (DO) -> DO
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> integer
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (END_FOR) -> ENDFOR
Token: (SEMI_COLON) -> ;
Token: (MINUS) -> -
Sybol: (INTEGER_CONSTANT) -> 1
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> i
Token: (SEMI_COLON) -> ;
Token: (FOR) -> FOR
Sybol: (ID) -> integer
Token: (IS) -> IS
Sybol: (ID) -> i
Token: (MULTIPLY) -> *
Sybol: (ID) -> i
Token: (MULTIPLY) -> *
Sybol: (ID) -> i
Token: (BY) -> BY
Sybol: (ID) -> i
Token: (MULTIPLY) -> *
Sybol: (ID) -> i
Token: (MULTIPLY) -> *
Sybol: (ID) -> i
Token: (MULTIPLY) -> *
Sybol: (ID) -> i
Token: (MULTIPLY) -> *
Sybol: (ID) -> i
Token: (TO) -> TO
Sybol: (ID) -> i
Token: (MULTIPLY) -> *
Sybol: (ID) -> i
Token: (MULTIPLY) -> *
Token: (BRA) -> (
Sybol: (ID) -> i
Token: (ADD) -> +
Sybol: (ID) -> i
Token: (ADD) -> +
Sybol: (ID) -> i
Token: (ADD) -> +
Sybol: (ID) -> i
Token: (ADD) -> +
Sybol: (ID) -> i
Token: (KET) -> )
Token: (DO) -> DO
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> integer
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (END_FOR) -> ENDFOR
Token: (ENDP) -> ENDP
Sybol: (ID) -> ProgV
Token: (FULL_STOP) -> .
--26/11/2017----------------------------------------------------- 
Parse debug output for a.spl 
--19:20:50.38----------------------------------------------------- 
Starting parse
Entering state 0
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 1
Reading a token: Next token is token COLON_T ()
Shifting token COLON_T ()
Entering state 3
Reading a token: Next token is token CODE_T ()
Shifting token CODE_T ()
Entering state 6
Reading a token: Next token is token WRITE_T ()
Shifting token WRITE_T ()
Entering state 22
Reading a token: Next token is token BRA_T ()
Shifting token BRA_T ()
Entering state 46
Reading a token: Next token is token CHARACTER_CONSTANT_T ()
Shifting token CHARACTER_CONSTANT_T ()
Entering state 16
Reducing stack by rule 50 (line 417):
   $1 = token CHARACTER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 6 22 46
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 6 22 46
Entering state 76
Reading a token: Next token is token COMMA_T ()
Shifting token COMMA_T ()
Entering state 95
Reading a token: Next token is token CHARACTER_CONSTANT_T ()
Shifting token CHARACTER_CONSTANT_T ()
Entering state 16
Reducing stack by rule 50 (line 417):
   $1 = token CHARACTER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 6 22 46 76 95
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 6 22 46 76 95
Entering state 76
Reading a token: Next token is token COMMA_T ()
Shifting token COMMA_T ()
Entering state 95
Reading a token: Next token is token CHARACTER_CONSTANT_T ()
Shifting token CHARACTER_CONSTANT_T ()
Entering state 16
Reducing stack by rule 50 (line 417):
   $1 = token CHARACTER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 6 22 46 76 95 76 95
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 6 22 46 76 95 76 95
Entering state 76
Reading a token: Next token is token COMMA_T ()
Shifting token COMMA_T ()
Entering state 95
Reading a token: Next token is token CHARACTER_CONSTANT_T ()
Shifting token CHARACTER_CONSTANT_T ()
Entering state 16
Reducing stack by rule 50 (line 417):
   $1 = token CHARACTER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 6 22 46 76 95 76 95 76 95
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 6 22 46 76 95 76 95 76 95
Entering state 76
Reading a token: Next token is token COMMA_T ()
Shifting token COMMA_T ()
Entering state 95
Reading a token: Next token is token CHARACTER_CONSTANT_T ()
Shifting token CHARACTER_CONSTANT_T ()
Entering state 16
Reducing stack by rule 50 (line 417):
   $1 = token CHARACTER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 6 22 46 76 95 76 95 76 95 76 95
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 6 22 46 76 95 76 95 76 95 76 95
Entering state 76
Reading a token: Next token is token KET_T ()
Reducing stack by rule 22 (line 288):
   $1 = nterm val ()
-> $$ = nterm output_block ()
Stack now 0 1 3 6 22 46 76 95 76 95 76 95 76 95
Entering state 104
Reducing stack by rule 23 (line 292):
   $1 = nterm val ()
   $2 = token COMMA_T ()
   $3 = nterm output_block ()
-> $$ = nterm output_block ()
Stack now 0 1 3 6 22 46 76 95 76 95 76 95
Entering state 104
Reducing stack by rule 23 (line 292):
   $1 = nterm val ()
   $2 = token COMMA_T ()
   $3 = nterm output_block ()
-> $$ = nterm output_block ()
Stack now 0 1 3 6 22 46 76 95 76 95
Entering state 104
Reducing stack by rule 23 (line 292):
   $1 = nterm val ()
   $2 = token COMMA_T ()
   $3 = nterm output_block ()
-> $$ = nterm output_block ()
Stack now 0 1 3 6 22 46 76 95
Entering state 104
Reducing stack by rule 23 (line 292):
   $1 = nterm val ()
   $2 = token COMMA_T ()
   $3 = nterm output_block ()
-> $$ = nterm output_block ()
Stack now 0 1 3 6 22 46
Entering state 75
Next token is token KET_T ()
Shifting token KET_T ()
Entering state 94
Reducing stack by rule 21 (line 282):
   $1 = token WRITE_T ()
   $2 = token BRA_T ()
   $3 = nterm output_block ()
   $4 = token KET_T ()
-> $$ = nterm write_b
/* Spl program name -> ProgA */
#include <stdio.h>
int main(void) 
{

printf("%c", 'h');
printf("%c", 'e');
printf("%c", 'l');
printf("%c", 'l');
printf("%c", 'o');
printf("\n");

return 0;
}
 /* End program -> ProgA */
lock ()
Stack now 0 1 3 6
Entering state 27
Reducing stack by rule 12 (line 241):
   $1 = nterm write_block ()
-> $$ = nterm statement ()
Stack now 0 1 3 6
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token NEWLINE_T ()
Shifting token NEWLINE_T ()
Entering state 24
Reducing stack by rule 20 (line 278):
   $1 = token NEWLINE_T ()
-> $$ = nterm write_block ()
Stack now 0 1 3 6 26 48
Entering state 27
Reducing stack by rule 12 (line 241):
   $1 = nterm write_block ()
-> $$ = nterm statement ()
Stack now 0 1 3 6 26 48
Entering state 26
Reading a token: Next token is token ENDP_T ()
Reducing stack by rule 10 (line 231):
   $1 = nterm statement ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 6 26 48
Entering state 78
Reducing stack by rule 9 (line 227):
   $1 = nterm statement ()
   $2 = token SEMI_COLON_T ()
   $3 = nterm statement_block ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 6
Entering state 25
Reducing stack by rule 3 (line 194):
   $1 = token CODE_T ()
   $2 = nterm statement_block ()
-> $$ = nterm block ()
Stack now 0 1 3
Entering state 7
Next token is token ENDP_T ()
Shifting token ENDP_T ()
Entering state 31
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 55
Reading a token: Next token is token FULL_STOP_T ()
Shifting token FULL_STOP_T ()
Entering state 81
Reducing stack by rule 1 (line 174):
   $1 = token ID_T ()
   $2 = token COLON_T ()
   $3 = nterm block ()
   $4 = token ENDP_T ()
   $5 = token ID_T ()
   $6 = token FULL_STOP_T ()
-> $$ = nterm program ()
Stack now 0
Entering state 2
Reading a token: Now at end of input.
Shifting token $end ()
Entering state 4
Stack now 0 2 4
Cleanup: popping token $end ()
Cleanup: popping nterm program ()
--26/11/2017----------------------------------------------------- 
Parse debug output for b.spl 
--19:20:53.34----------------------------------------------------- 
Starting parse
Entering state 0
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 1
Reading a token: Next token is token COLON_T ()
Shifting token COLON_T ()
Entering state 3
Reading a token: Next token is token DECLARATIONS_T ()
Shifting token DECLARATIONS_T ()
Entering state 5
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 8
Reducing stack by rule 8 (line 222):
   $1 = token ID_T ()
-> $$ = nterm identifier_block ()
Stack now 0 1 3 5
Entering state 11
Reading a token: Next token is token COMMA_T ()
Shifting token COMMA_T ()
Entering state 35
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 58
Reducing stack by rule 7 (line 218):
   $1 = nterm identifier_block ()
   $2 = token COMMA_T ()
   $3 = token ID_T ()
-> $$ = nterm identifier_block ()
Stack now 0 1 3 5
Entering state 11
Reading a token: Next token is token OF_T ()
Shifting token OF_T ()
Entering state 34
Reading a token: Next token is token TYPE_T ()
Shifting token TYPE_T ()
Entering state 57
Reading a token: Next token is token INTEGER_T ()
Shifting token INTEGER_T ()
Entering state 83
Reducing stack by rule 45 (line 395):
   $1 = token INTEGER_T ()
-> $$ = nterm type ()
Stack now 0 1 3 5 11 34 57
Entering state 85
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 97
Reducing stack by rule 6 (line 212):
   $1 = nterm identifier_block ()
   $2 = token OF_T ()
   $3 = token TYPE_T ()
   $4 = nterm type ()
   $5 = token SEMI_COLON_T ()
-> $$ = nterm declaration ()
Stack now 0 1 3 5
Entering state 10
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 8
Reducing stack by rule 8 (line 222):
   $1 = token ID_T ()
-> $$ = nterm identifier_block ()
Stack now 0 1 3 5 10
Entering state 11
Reading a token: Next token is token OF_T ()
Shifting token OF_T ()
Entering state 34
Reading a token: Next token is token TYPE_T ()
Shifting token TYPE_T ()
Entering state 57
Reading a token: Next token is token CHARACTER_T ()
Shifting token CHARACTER_T ()
Entering state 82
Reducing stack by rule 47 (line 403):
   $1 = token CHARACTER_T ()
-> $$ = nterm type ()
Stack now 0 1 3 5 10 11 34 57
Entering state 85
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 97
Reducing stack by rule 6 (line 212):
   $1 = nterm identifier_block ()
   $2 = token OF_T ()
   $3 = token TYPE_T ()
   $4 = nterm type ()
   $5 = token SEMI_COLON_T ()
-> $$ = nterm declaration ()
Stack now 0 1 3 5 10
Entering state 10
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 8
Reducing stack by rule 8 (line 222):
   $1 = token ID_T ()
-> $$ = nterm identifier_block ()
Stack now 0 1 3 5 10 10
Entering state 11
Reading a token: Next token is token COMMA_T ()
Shifting token COMMA_T ()
Entering state 35
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 58
Reducing stack by rule 7 (line 218):
   $1 = nterm identifier_block ()
   $2 = token COMMA_T ()
   $3 = token ID_T ()
-> $$ = nterm identifier_block ()
Stack now 0 1 3 5 10 10
Entering state 11
Reading a token: Next token is token OF_T ()
Shifting token OF_T ()
Entering state 34
Reading a token: Next token is token TYPE_T ()
Shifting token TYPE_T ()
Entering state 57
Reading a token: Next token is token REAL_T ()
Shifting token REAL_T ()
Entering state 84
Reducing stack by rule 46 (line 399):
   $1 = token REAL_T ()
-> $$ = nterm type ()
Stack now 0 1 3 5 10 10 11 34 57
Entering state 85
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 97
Reducing stack by rule 6 (line 212):
   $1 = nterm identifier_block ()
   $2 = token OF_T ()
   $3 = token TYPE_T ()
   $4 = nterm type ()
   $5 = token SEMI_COLON_T ()
-> $$ = nterm declaration ()
Stack now 0 1 3 5 10 10
Entering state 10
Reading a token: Next token is token CODE_T ()
Reducing stack by rule 4 (line 202):
   $1 = nterm declaration ()
-> $$ = nterm declarations ()
Stack now 0 1 3 5 10 10
Entering state 33
Reducing stack by rule 5 (line 206):
   $1 = nterm declaration ()
   $2 = nterm declarations ()
-> $$ = nterm declarations ()
Stack now 0 1 3 5 10
Entering state 33
Reducing stack by rule 5 (line 206):
   $1 = nterm declaration ()
   $2 = nterm declarations ()
-> $$ = nterm declarations ()
Stack now 0 1 3 5
Entering state 9
Next token is token CODE_T ()
Shifting token CODE_T ()
Entering state 32
Reading a token: Next token is token READ_T ()
Shifting token READ_T ()
Entering state 23
Reading a token: Next token is token BRA_T ()
Shifting token BRA_T ()
Entering state 47
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 77
Reading a token: Next token is token KET_T ()
Shifting token KET_T ()
Entering state 96
Reducing stack by rule 13 (line 245):
   $1 = token READ_T ()
   $2 = token BRA_T ()
   $3 = token ID_T ()
   $4 = token KET_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token READ_T ()
Shifting token READ_T ()
Entering state 23
Reading a token: Next token is token BRA_T ()
Shifting token BRA_T ()
Entering state 47
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 77
Reading a token: Next token is token KET_T ()
Shifting token KET_T ()
Entering state 96
Reducing stack by rule 13 (line 245):
   $1 = token READ_T ()
   $2 = token BRA_T ()
   $3 = token ID_T ()
   $4 = token KET_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token IF_T ()
Shifting token IF_T ()
Entering state 18
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 18
Entering state 29
Reading a token: Next token is token GREATER_THAN_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 18
Entering state 41
Next token is token GREATER_THAN_T ()
Shifting token GREATER_THAN_T ()
Entering state 69
Reducing stack by rule 38 (line 361):
   $1 = token GREATER_THAN_T ()
-> $$ = nterm comp ()
Stack now 0 1 3 5 9 32 26 48 26 48 18 41
Entering state 70
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 18 41 70
Entering state 29
Reading a token: Next token is token THEN_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 18 41 70
Entering state 89
Reducing stack by rule 28 (line 315):
   $1 = nterm expr ()
   $2 = nterm comp ()
   $3 = nterm expr ()
-> $$ = nterm condition ()
Stack now 0 1 3 5 9 32 26 48 26 48 18
Entering state 40
Next token is token THEN_T ()
Reducing stack by rule 24 (line 297):
   $1 = nterm condition ()
-> $$ = nterm conditional ()
Stack now 0 1 3 5 9 32 26 48 26 48 18
Entering state 39
Next token is token THEN_T ()
Shifting token THEN_T ()
Entering state 61
Reading a token: Next token is token WRITE_T ()
Shifting token WRITE_T ()
Entering state 22
Reading a token: Next token is token BRA_T ()
Shifting token BRA_T ()
Entering state 46
Reading a token: Next token is token CHARACTER_CONSTANT_T ()
Shifting token CHARACTER_CONSTANT_T ()
Entering state 16
Reducing stack by rule 50 (line 417):
   $1 = token CHARACTER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 5 9 32 26 48 26 48 18 39 61 22 46
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 18 39 61 22 46
Entering state 76
Reading a token: Next token is token KET_T ()
Reducing stack by rule 22 (line 288):
   $1 = nterm val ()
-> $$ = nterm output_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 18 39 61 22 46
Entering state 75
Next token is token KET_T ()
Shifting token KET_T ()
Entering state 94
Reducing stack by rule 21 (line 282):
   $1 = token WRITE_T ()
   $2 = token BRA_T ()
   $3 = nterm output_block ()
   $4 = token KET_T ()
-> $$ = nterm write_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 18 39 61
Entering state 27
Reducing stack by rule 12 (line 241):
   $1 = nterm write_block ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 18 39 61
Entering state 26
Reading a token: Next token is token ELSE_T ()
Reducing stack by rule 10 (line 231):
   $1 = nterm statement ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 18 39 61
Entering state 86
Next token is token ELSE_T ()
Shifting token ELSE_T ()
Entering state 98
Reading a token: Next token is token WRITE_T ()
Shifting token WRITE_T ()
Entering state 22
Reading a token: Next token is token BRA_T ()
Shifting token BRA_T ()
Entering state 46
